migration_scenario,year,year_month,FIPS,area_name,age_in_yrs_num,age_in_yrs_char,total,total_male,total_female,nh_white_total,nh_white_male,nh_white_female,nh_black_total,nh_black_male,nh_black_female,hispanic_total,hispanic_male,hispanic_female,nh_asian_total,nh_asian_male,nh_asian_female,nh_other_total,nh_other_male,nh_other_female
Mid,2020,202004,000,State of Texas,-1,All Ages,29145505,14394682,14750823,11584597,5751313,5833284,3444712,1654486,1790226,11441717,5692142,5749575,1561518,757096,804422,1112961,539645,573316
Mid,2020,202004,000,State of Texas,0,< 1 yr,340562,173553,167009,99694,50985,48709,40977,20726,20251,163220,83044,80176,16360,8444,7916,20311,10354,9957
Mid,2020,202004,000,State of Texas,1,1 yr,347006,176404,170602,103308,52866,50442,42281,21327,20954,165136,83708,81428,16634,8506,8128,19647,9997,9650
Mid,2020,202004,000,State of Texas,2,2 yrs,361190,183499,177691,106386,54360,52026,44274,22536,21738,172041,87138,84903,17987,9048,8939,20502,10417,10085
Mid,2020,202004,000,State of Texas,3,3 yrs,377394,192237,185157,112133,57341,54792,45302,23102,22200,179877,91208,88669,19257,9842,9415,20825,10744,10081
Mid,2020,202004,000,State of Texas,4,4 yrs,393108,199902,193206,117552,60108,57444,46963,23618,23345,187563,95302,92261,19723,10075,9648,21307,10799,10508
Mid,2020,202004,000,State of Texas,5,5 yrs,402192,205244,196948,118825,61057,57768,48135,24410,23725,192830,98229,94601,20706,10615,10091,21696,10933,10763
Mid,2020,202004,000,State of Texas,6,6 yrs,399359,203689,195670,118939,61063,57876,47624,24348,23276,191636,97310,94326,20276,10365,9911,20884,10603,10281
Mid,2020,202004,000,State of Texas,7,7 yrs,399595,203262,196333,119030,60608,58422,47321,23998,23323,191043,97035,94008,21341,11186,10155,20860,10435,10425
Mid,2020,202004,000,State of Texas,8,8 yrs,400451,204119,196332,118342,60241,58101,47733,24357,23376,193200,98584,94616,20652,10506,10146,20524,10431,10093
Mid,2020,202004,000,State of Texas,9,9 yrs,405159,207112,198047,120184,61750,58434,48441,24751,23690,195763,99972,95791,20399,10281,10118,20372,10358,10014
Mid,2020,202004,000,State of Texas,10,10 yrs,428107,218326,209781,124233,63888,60345,51285,25887,25398,210366,107063,103303,20697,10465,10232,21526,11023,10503
Mid,2020,202004,000,State of Texas,11,11 yrs,428405,219027,209378,124498,63938,60560,51308,26260,25048,211080,107656,103424,20445,10459,9986,21074,10714,10360
Mid,2020,202004,000,State of Texas,12,12 yrs,440978,224904,216074,127370,65229,62141,52531,26797,25734,218418,111248,107170,21172,10769,10403,21487,10861,10626
Mid,2020,202004,000,State of Texas,13,13 yrs,437175,222950,214225,127281,65295,61986,52565,26900,25665,216159,109709,106450,20027,10207,9820,21143,10839,10304
Mid,2020,202004,000,State of Texas,14,14 yrs,429074,219456,209618,125986,64906,61080,50830,25839,24991,211753,108196,103557,19939,10064,9875,20566,10451,10115
Mid,2020,202004,000,State of Texas,15,15 yrs,433566,222284,211282,127379,65581,61798,51186,26188,24998,214259,110022,104237,20331,10262,10069,20411,10231,10180
Mid,2020,202004,000,State of Texas,16,16 yrs,430730,220370,210360,128335,65861,62474,50678,25979,24699,211455,108107,103348,20135,10249,9886,20127,10174,9953
Mid,2020,202004,000,State of Texas,17,17 yrs,424754,217212,207542,127129,65350,61779,50021,25648,24373,208599,106548,102051,19859,9974,9885,19146,9692,9454
Mid,2020,202004,000,State of Texas,18,18 yrs,430548,220231,210317,128460,66047,62413,54273,27399,26874,207215,106481,100734,21460,10756,10704,19140,9548,9592
Mid,2020,202004,000,State of Texas,19,19 yrs,436500,220893,215607,134777,68476,66301,54367,27108,27259,205158,104200,100958,23257,11710,11547,18941,9399,9542
Mid,2020,202004,000,State of Texas,20,20 yrs,434553,221601,212952,138731,70970,67761,54456,27136,27320,201218,102982,98236,22336,11384,10952,17812,9129,8683
Mid,2020,202004,000,State of Texas,21,21 yrs,414516,211290,203226,134223,68563,65660,51338,25720,25618,190841,97541,93300,21406,11077,10329,16708,8389,8319
Mid,2020,202004,000,State of Texas,22,22 yrs,403114,205998,197116,131208,67120,64088,50019,25063,24956,183765,94283,89482,21861,11408,10453,16261,8124,8137
Mid,2020,202004,000,State of Texas,23,23 yrs,397411,202903,194508,132081,67548,64533,48844,24278,24566,179123,92126,86997,21963,11275,10688,15400,7676,7724
Mid,2020,202004,000,State of Texas,24,24 yrs,398590,202376,196214,133872,68101,65771,48942,24285,24657,177535,90598,86937,22253,11501,10752,15988,7891,8097
Mid,2020,202004,000,State of Texas,25,25 yrs,415033,211276,203757,140484,71877,68607,52047,25557,26490,184235,94369,89866,22660,11677,10983,15607,7796,7811
Mid,2020,202004,000,State of Texas,26,26 yrs,400679,201971,198708,136969,69703,67266,50680,24835,25845,174969,88465,86504,22712,11521,11191,15349,7447,7902
Mid,2020,202004,000,State of Texas,27,27 yrs,406049,204516,201533,139637,71102,68535,51993,25234,26759,175106,88581,86525,23991,12110,11881,15322,7489,7833
Mid,2020,202004,000,State of Texas,28,28 yrs,415386,208829,206557,146284,74495,71789,53141,25641,27500,176114,89117,86997,24606,12087,12519,15241,7489,7752
Mid,2020,202004,000,State of Texas,29,29 yrs,413519,207155,206364,148738,75589,73149,52876,25379,27497,171235,86520,84715,25066,12131,12935,15604,7536,8068
Mid,2020,202004,000,State of Texas,30,30 yrs,447775,225247,222528,161133,82022,79111,57613,27655,29958,185451,94522,90929,27323,13185,14138,16255,7863,8392
Mid,2020,202004,000,State of Texas,31,31 yrs,401424,199577,201847,148581,75430,73151,51176,24396,26780,159978,79977,80001,26438,12451,13987,15251,7323,7928
Mid,2020,202004,000,State of Texas,32,32 yrs,409668,204252,205416,151794,76926,74868,51580,24344,27236,164815,83347,81468,26505,12433,14072,14974,7202,7772
Mid,2020,202004,000,State of Texas,33,33 yrs,404840,201262,203578,151511,76558,74953,50313,24061,26252,161967,81222,80745,26070,12346,13724,14979,7075,7904
Mid,2020,202004,000,State of Texas,34,34 yrs,408266,202813,205453,154244,77980,76264,50978,24099,26879,161353,80975,80378,27139,12758,14381,14552,7001,7551
Mid,2020,202004,000,State of Texas,35,35 yrs,434646,217422,217224,162991,83018,79973,53927,25841,28086,173983,87841,86142,28767,13620,15147,14978,7102,7876
Mid,2020,202004,000,State of Texas,36,36 yrs,400933,198576,202357,151110,76477,74633,49680,23423,26257,157935,78855,79080,27854,13038,14816,14354,6783,7571
Mid,2020,202004,000,State of Texas,37,37 yrs,406134,201172,204962,153345,77867,75478,50532,23993,26539,159897,79276,80621,27732,13050,14682,14628,6986,7642
Mid,2020,202004,000,State of Texas,38,38 yrs,404967,200283,204684,152315,77158,75157,49586,23421,26165,161563,80340,81223,27288,12710,14578,14215,6654,7561
Mid,2020,202004,000,State of Texas,39,39 yrs,400169,197380,202789,150503,76363,74140,50263,23589,26674,158260,78136,80124,26559,12417,14142,14584,6875,7709
Mid,2020,202004,000,State of Texas,40,40 yrs,427564,212797,214767,157175,79752,77423,54054,25694,28360,174208,87599,86609,27710,12901,14809,14417,6851,7566
Mid,2020,202004,000,State of Texas,41,41 yrs,370334,182637,187697,138858,70498,68360,47084,22264,24820,145726,71733,73993,25201,11779,13422,13465,6363,7102
Mid,2020,202004,000,State of Texas,42,42 yrs,372697,182875,189822,139381,70220,69161,45613,21612,24001,150172,73448,76724,24298,11457,12841,13233,6138,7095
Mid,2020,202004,000,State of Texas,43,43 yrs,364512,179325,185187,135336,68337,66999,44401,21198,23203,147390,72094,75296,24537,11593,12944,12848,6103,6745
Mid,2020,202004,000,State of Texas,44,44 yrs,359207,176761,182446,133103,67624,65479,43503,20441,23062,145039,70907,74132,25233,12043,13190,12329,5746,6583
Mid,2020,202004,000,State of Texas,45,45 yrs,382577,190130,192447,142138,72102,70036,45373,21996,23377,156014,77308,78706,26323,12715,13608,12729,6009,6720
Mid,2020,202004,000,State of Texas,46,46 yrs,351682,172933,178749,132838,67131,65707,42981,20515,22466,139757,68000,71757,24531,11796,12735,11575,5491,6084
Mid,2020,202004,000,State of Texas,47,47 yrs,358030,175850,182180,137167,69289,67878,44369,21096,23273,139422,67800,71622,24768,11893,12875,12304,5772,6532
Mid,2020,202004,000,State of Texas,48,48 yrs,369144,181221,187923,148121,74804,73317,44847,21343,23504,139406,67447,71959,24440,11716,12724,12330,5911,6419
Mid,2020,202004,000,State of Texas,49,49 yrs,379548,186567,192981,159536,80498,79038,46654,22232,24422,136903,66303,70600,23576,11425,12151,12879,6109,6770
Mid,2020,202004,000,State of Texas,50,50 yrs,390276,193424,196852,163808,82754,81054,46694,22274,24420,143416,70871,72545,23693,11448,12245,12665,6077,6588
Mid,2020,202004,000,State of Texas,51,51 yrs,345565,170106,175459,148044,74452,73592,41169,19610,21559,123744,60448,63296,21197,10205,10992,11411,5391,6020
Mid,2020,202004,000,State of Texas,52,52 yrs,337241,166239,171002,143282,72289,70993,41094,19746,21348,122510,59705,62805,19440,9414,10026,10915,5085,5830
Mid,2020,202004,000,State of Texas,53,53 yrs,331445,163169,168276,143746,72054,71692,40998,19431,21567,117969,58016,59953,17909,8663,9246,10823,5005,5818
Mid,2020,202004,000,State of Texas,54,54 yrs,336787,166136,170651,147238,73740,73498,42158,20007,22151,118355,58475,59880,18151,8860,9291,10885,5054,5831
Mid,2020,202004,000,State of Texas,55,55 yrs,361534,178243,183291,165294,82683,82611,44516,20998,23518,121952,60276,61676,18165,8838,9327,11607,5448,6159
Mid,2020,202004,000,State of Texas,56,56 yrs,351784,172548,179236,167460,83289,84171,42252,19738,22514,112588,55484,57104,17693,8544,9149,11791,5493,6298
Mid,2020,202004,000,State of Texas,57,57 yrs,350853,171638,179215,171201,85112,86089,42045,19691,22354,108863,53193,55670,16836,8087,8749,11908,5555,6353
Mid,2020,202004,000,State of Texas,58,58 yrs,347203,169900,177303,173894,86267,87627,41257,19382,21875,105130,51569,53561,15221,7308,7913,11701,5374,6327
Mid,2020,202004,000,State of Texas,59,59 yrs,346100,168713,177387,175569,87119,88450,41613,19448,22165,102268,49789,52479,15289,7201,8088,11361,5156,6205
Mid,2020,202004,000,State of Texas,60,60 yrs,354126,173038,181088,181825,90177,91648,41786,19569,22217,103874,50818,53056,15523,7213,8310,11118,5261,5857
Mid,2020,202004,000,State of Texas,61,61 yrs,327194,159022,168172,171898,85129,86769,38867,18148,20719,91618,44408,47210,14269,6472,7797,10542,4865,5677
Mid,2020,202004,000,State of Texas,62,62 yrs,327297,158282,169015,174470,85939,88531,38055,17698,20357,90328,43367,46961,13967,6358,7609,10477,4920,5557
Mid,2020,202004,000,State of Texas,63,63 yrs,314477,150545,163932,168734,82193,86541,36381,16727,19654,85576,40891,44685,13697,6162,7535,10089,4572,5517
Mid,2020,202004,000,State of Texas,64,64 yrs,303668,145616,158052,164433,80140,84293,34822,16132,18690,81618,38943,42675,13382,6062,7320,9413,4339,5074
Mid,2020,202004,000,State of Texas,65,65 yrs,304916,145876,159040,167462,81631,85831,34352,15661,18691,80577,38313,42264,13328,6029,7299,9197,4242,4955
Mid,2020,202004,000,State of Texas,66,66 yrs,278038,131209,146829,156337,75062,81275,30143,13604,16539,71239,33356,37883,12019,5452,6567,8300,3735,4565
Mid,2020,202004,000,State of Texas,67,67 yrs,269897,127513,142384,153123,73834,79289,28752,12913,15839,68115,31850,36265,12113,5416,6697,7794,3500,4294
Mid,2020,202004,000,State of Texas,68,68 yrs,254451,119897,134554,146780,70640,76140,26624,11669,14955,63224,29515,33709,10717,4713,6004,7106,3360,3746
Mid,2020,202004,000,State of Texas,69,69 yrs,240173,112091,128082,136461,65143,71318,25651,11048,14603,60656,28192,32464,10847,4712,6135,6558,2996,3562
Mid,2020,202004,000,State of Texas,70,70 yrs,239585,111547,128038,138432,66047,72385,24204,10516,13688,59421,27373,32048,11096,4848,6248,6432,2763,3669
Mid,2020,202004,000,State of Texas,71,71 yrs,220782,102557,118225,131260,62254,69006,21683,9413,12270,52551,24068,28483,9400,4188,5212,5888,2634,3254
Mid,2020,202004,000,State of Texas,72,72 yrs,221399,103397,118002,136039,64872,71167,20031,8696,11335,50661,23296,27365,8811,3844,4967,5857,2689,3168
Mid,2020,202004,000,State of Texas,73,73 yrs,211483,98167,113316,133721,63556,70165,17738,7647,10091,46664,21064,25600,7923,3520,4403,5437,2380,3057
Mid,2020,202004,000,State of Texas,74,74 yrs,161665,74527,87138,96385,45740,50645,14445,6033,8412,39991,17874,22117,6834,3107,3727,4010,1773,2237
Mid,2020,202004,000,State of Texas,75,75 yrs,160626,73296,87330,98414,45874,52540,13737,5663,8074,37940,16946,20994,6595,3060,3535,3940,1753,2187
Mid,2020,202004,000,State of Texas,76,76 yrs,152181,68723,83458,96535,44778,51757,12412,5067,7345,33930,14766,19164,5561,2525,3036,3743,1587,2156
Mid,2020,202004,000,State of Texas,77,77 yrs,141396,63869,77527,91234,42155,49079,11506,4799,6707,30036,12954,17082,5204,2435,2769,3416,1526,1890
Mid,2020,202004,000,State of Texas,78,78 yrs,124476,55686,68790,79424,36466,42958,10079,4105,5974,27402,11720,15682,4700,2159,2541,2871,1236,1635
Mid,2020,202004,000,State of Texas,79,79 yrs,113070,49904,63166,72040,32616,39424,9201,3602,5599,25147,10679,14468,4134,1871,2263,2548,1136,1412
Mid,2020,202004,000,State of Texas,80,80 yrs,104300,45314,58986,65740,29181,36559,8453,3225,5228,23956,10224,13732,3980,1806,2174,2171,878,1293
Mid,2020,202004,000,State of Texas,81,81 yrs,92719,39916,52803,59613,26339,33274,7153,2790,4363,20539,8499,12040,3360,1508,1852,2054,780,1274
Mid,2020,202004,000,State of Texas,82,82 yrs,85922,36565,49357,55289,24102,31187,6558,2490,4068,19268,7850,11418,2985,1354,1631,1822,769,1053
Mid,2020,202004,000,State of Texas,83,83 yrs,76294,31955,44339,48740,21044,27696,5930,2196,3734,17481,6903,10578,2521,1140,1381,1622,672,950
Mid,2020,202004,000,State of Texas,84,84 yrs,70217,28748,41469,45552,19219,26333,5318,1926,3392,15649,6078,9571,2282,970,1312,1416,555,861
Mid,2020,202004,000,State of Texas,85,85 yrs,64820,26234,38586,41993,17371,24622,4949,1718,3231,14664,5743,8921,1917,873,1044,1297,529,768
Mid,2020,202004,000,State of Texas,86,86 yrs,54558,21693,32865,35459,14397,21062,4176,1432,2744,12322,4808,7514,1598,672,926,1003,384,619
Mid,2020,202004,000,State of Texas,87,87 yrs,48746,19024,29722,32139,12849,19290,3793,1291,2502,10427,3953,6474,1439,576,863,948,355,593
Mid,2020,202004,000,State of Texas,88,88 yrs,43100,16617,26483,28562,11201,17361,3039,986,2053,9395,3596,5799,1178,476,702,926,358,568
Mid,2020,202004,000,State of Texas,89,89 yrs,38126,14294,23832,25256,9734,15522,2722,859,1863,8416,3045,5371,1022,390,632,710,266,444
Mid,2020,202004,000,State of Texas,90,90 yrs,32996,11818,21178,21804,7940,13864,2482,722,1760,7305,2633,4672,865,342,523,540,181,359
Mid,2020,202004,000,State of Texas,91,91 yrs,26322,9246,17076,17550,6275,11275,1978,581,1397,5692,1977,3715,643,248,395,459,165,294
Mid,2020,202004,000,State of Texas,92,92 yrs,21745,7161,14584,14654,4887,9767,1511,420,1091,4720,1538,3182,534,197,337,326,119,207
Mid,2020,202004,000,State of Texas,93,93 yrs,17808,5686,12122,12037,3835,8202,1324,354,970,3706,1248,2458,441,144,297,300,105,195
Mid,2020,202004,000,State of Texas,94,94 yrs,13805,4099,9706,9148,2717,6431,1087,262,825,2951,931,2020,359,102,257,260,87,173
Mid,2020,202004,000,State of Texas,95,95+ yrs,35519,9765,25754,23270,6145,17125,3016,680,2336,7712,2425,5287,877,304,573,644,211,433
Mid,2020,202007,000,State of Texas,-1,All Ages,29239570,14441123,14798447,11621991,5769877,5852114,3455822,1659822,1796000,11478653,5710511,5768142,1566553,759532,807021,1116551,541381,575170
Mid,2020,202007,000,State of Texas,0,< 1 yr,341661,174113,167548,100016,51150,48866,41109,20793,20316,163747,83312,80435,16413,8471,7942,20376,10387,9989
Mid,2020,202007,000,State of Texas,1,1 yr,348126,176973,171153,103641,53036,50605,42418,21396,21022,165669,83978,81691,16687,8533,8154,19711,10030,9681
Mid,2020,202007,000,State of Texas,2,2 yrs,362356,184092,178264,106730,54536,52194,44417,22609,21808,172596,87419,85177,18045,9077,8968,20568,10451,10117
Mid,2020,202007,000,State of Texas,3,3 yrs,378612,192855,185757,112495,57526,54969,45448,23176,22272,180458,91502,88956,19319,9873,9446,20892,10778,10114
Mid,2020,202007,000,State of Texas,4,4 yrs,394377,200547,193830,117932,60302,57630,47114,23694,23420,188169,95610,92559,19786,10107,9679,21376,10834,10542
Mid,2020,202007,000,State of Texas,5,5 yrs,403490,205905,197585,119209,61254,57955,48290,24488,23802,193452,98546,94906,20773,10649,10124,21766,10968,10798
Mid,2020,202007,000,State of Texas,6,6 yrs,400647,204345,196302,119322,61260,58062,47777,24426,23351,192255,97624,94631,20341,10398,9943,20952,10637,10315
Mid,2020,202007,000,State of Texas,7,7 yrs,400885,203918,196967,119414,60804,58610,47474,24076,23398,191660,97348,94312,21410,11222,10188,20927,10468,10459
Mid,2020,202007,000,State of Texas,8,8 yrs,401744,204778,196966,118724,60435,58289,47887,24436,23451,193824,98902,94922,20718,10540,10178,20591,10465,10126
Mid,2020,202007,000,State of Texas,9,9 yrs,406466,207780,198686,120572,61950,58622,48597,24830,23767,196395,100295,96100,20465,10314,10151,20437,10391,10046
Mid,2020,202007,000,State of Texas,10,10 yrs,429489,219030,210459,124634,64094,60540,51451,25971,25480,211045,107408,103637,20763,10498,10265,21596,11059,10537
Mid,2020,202007,000,State of Texas,11,11 yrs,429788,219733,210055,124900,64144,60756,51473,26345,25128,211762,108004,103758,20511,10492,10019,21142,10748,10394
Mid,2020,202007,000,State of Texas,12,12 yrs,442401,225629,216772,127781,65439,62342,52700,26883,25817,219123,111607,107516,21240,10804,10436,21557,10896,10661
Mid,2020,202007,000,State of Texas,13,13 yrs,438586,223670,214916,127692,65506,62186,52734,26987,25747,216857,110063,106794,20092,10240,9852,21211,10874,10337
Mid,2020,202007,000,State of Texas,14,14 yrs,430458,220163,210295,126392,65115,61277,50994,25922,25072,212436,108545,103891,20004,10097,9907,20632,10484,10148
Mid,2020,202007,000,State of Texas,15,15 yrs,434966,223001,211965,127790,65792,61998,51352,26273,25079,214950,110377,104573,20397,10295,10102,20477,10264,10213
Mid,2020,202007,000,State of Texas,16,16 yrs,432120,221081,211039,128749,66073,62676,50841,26063,24778,212138,108456,103682,20200,10282,9918,20192,10207,9985
Mid,2020,202007,000,State of Texas,17,17 yrs,426125,217912,208213,127539,65560,61979,50182,25731,24451,209273,106892,102381,19923,10006,9917,19208,9723,9485
Mid,2020,202007,000,State of Texas,18,18 yrs,431937,220941,210996,128874,66260,62614,54448,27487,26961,207884,106825,101059,21529,10790,10739,19202,9579,9623
Mid,2020,202007,000,State of Texas,19,19 yrs,437909,221606,216303,135212,68697,66515,54543,27196,27347,205820,104536,101284,23332,11748,11584,19002,9429,9573
Mid,2020,202007,000,State of Texas,20,20 yrs,435956,222317,213639,139179,71199,67980,54632,27224,27408,201867,103314,98553,22408,11421,10987,17870,9159,8711
Mid,2020,202007,000,State of Texas,21,21 yrs,415853,211973,203880,134656,68785,65871,51503,25803,25700,191457,97856,93601,21475,11113,10362,16762,8416,8346
Mid,2020,202007,000,State of Texas,22,22 yrs,404415,206663,197752,131631,67337,64294,50181,25144,25037,184358,94587,89771,21932,11445,10487,16313,8150,8163
Mid,2020,202007,000,State of Texas,23,23 yrs,398694,203559,195135,132507,67766,64741,49002,24357,24645,179701,92423,87278,22034,11312,10722,15450,7701,7749
Mid,2020,202007,000,State of Texas,24,24 yrs,399877,203028,196849,134305,68321,65984,49100,24363,24737,178108,90890,87218,22325,11538,10787,16039,7916,8123
Mid,2020,202007,000,State of Texas,25,25 yrs,416372,211958,204414,140937,72109,68828,52214,25639,26575,184830,94674,90156,22733,11715,11018,15658,7821,7837
Mid,2020,202007,000,State of Texas,26,26 yrs,401972,202622,199350,137411,69928,67483,50844,24915,25929,175533,88750,86783,22786,11558,11228,15398,7471,7927
Mid,2020,202007,000,State of Texas,27,27 yrs,407360,205176,202184,140088,71331,68757,52161,25316,26845,175671,88867,86804,24069,12149,11920,15371,7513,7858
Mid,2020,202007,000,State of Texas,28,28 yrs,416726,209503,207223,146756,74736,72020,53312,25723,27589,176683,89405,87278,24685,12126,12559,15290,7513,7777
Mid,2020,202007,000,State of Texas,29,29 yrs,414854,207824,207030,149218,75833,73385,53047,25461,27586,171788,86799,84989,25146,12170,12976,15655,7561,8094
Mid,2020,202007,000,State of Texas,30,30 yrs,449220,225974,223246,161653,82287,79366,57799,27744,30055,186049,94827,91222,27412,13228,14184,16307,7888,8419
Mid,2020,202007,000,State of Texas,31,31 yrs,402720,200221,202499,149061,75674,73387,51341,24475,26866,160495,80235,80260,26523,12491,14032,15300,7346,7954
Mid,2020,202007,000,State of Texas,32,32 yrs,410990,204910,206080,152284,77174,75110,51746,24422,27324,165347,83616,81731,26591,12473,14118,15022,7225,7797
Mid,2020,202007,000,State of Texas,33,33 yrs,406146,201911,204235,152000,76805,75195,50475,24138,26337,162490,81484,81006,26154,12386,13768,15027,7098,7929
Mid,2020,202007,000,State of Texas,34,34 yrs,409584,203468,206116,154742,78232,76510,51143,24177,26966,161874,81236,80638,27226,12799,14427,14599,7024,7575
Mid,2020,202007,000,State of Texas,35,35 yrs,436049,218124,217925,163517,83286,80231,54101,25924,28177,174545,88125,86420,28859,13664,15195,15027,7125,7902
Mid,2020,202007,000,State of Texas,36,36 yrs,402227,199217,203010,151598,76724,74874,49840,23498,26342,158445,79110,79335,27944,13080,14864,14400,6805,7595
Mid,2020,202007,000,State of Texas,37,37 yrs,407445,201821,205624,153840,78118,75722,50695,24070,26625,160413,79532,80881,27821,13092,14729,14676,7009,7667
Mid,2020,202007,000,State of Texas,38,38 yrs,406274,200929,205345,152807,77407,75400,49746,23496,26250,162084,80599,81485,27376,12751,14625,14261,6676,7585
Mid,2020,202007,000,State of Texas,39,39 yrs,401460,198017,203443,150989,76610,74379,50425,23665,26760,158771,78388,80383,26644,12457,14187,14631,6897,7734
Mid,2020,202007,000,State of Texas,40,40 yrs,428944,213482,215462,157682,80009,77673,54229,25777,28452,174770,87881,86889,27799,12942,14857,14464,6873,7591
Mid,2020,202007,000,State of Texas,41,41 yrs,371529,183226,188303,139306,70726,68580,47236,22336,24900,146196,71964,74232,25283,11817,13466,13508,6383,7125
Mid,2020,202007,000,State of Texas,42,42 yrs,373900,183466,190434,139831,70447,69384,45760,21682,24078,150657,73686,76971,24377,11494,12883,13275,6157,7118
Mid,2020,202007,000,State of Texas,43,43 yrs,365689,179905,185784,135773,68557,67216,44544,21267,23277,147866,72327,75539,24616,11631,12985,12890,6123,6767
Mid,2020,202007,000,State of Texas,44,44 yrs,360366,177333,183033,133533,67843,65690,43643,20507,23136,145507,71136,74371,25314,12082,13232,12369,5765,6604
Mid,2020,202007,000,State of Texas,45,45 yrs,383812,190744,193068,142597,72335,70262,45519,22067,23452,156518,77558,78960,26408,12756,13652,12770,6028,6742
Mid,2020,202007,000,State of Texas,46,46 yrs,352817,173491,179326,133267,67348,65919,43119,20581,22538,140208,68220,71988,24611,11834,12777,11612,5508,6104
Mid,2020,202007,000,State of Texas,47,47 yrs,359185,176417,182768,137610,69513,68097,44512,21164,23348,139872,68019,71853,24848,11931,12917,12343,5790,6553
Mid,2020,202007,000,State of Texas,48,48 yrs,370336,181807,188529,148600,75046,73554,44992,21412,23580,139856,67665,72191,24519,11754,12765,12369,5930,6439
Mid,2020,202007,000,State of Texas,49,49 yrs,380772,187168,193604,160050,80757,79293,46804,22303,24501,137345,66517,70828,23652,11462,12190,12921,6129,6792
Mid,2020,202007,000,State of Texas,50,50 yrs,391536,194048,197488,164337,83021,81316,46845,22346,24499,143879,71100,72779,23770,11485,12285,12705,6096,6609
Mid,2020,202007,000,State of Texas,51,51 yrs,346680,170654,176026,148521,74692,73829,41302,19673,21629,124143,60643,63500,21266,10238,11028,11448,5408,6040
Mid,2020,202007,000,State of Texas,52,52 yrs,338330,166778,171552,143745,72523,71222,41227,19810,21417,122905,59898,63007,19503,9445,10058,10950,5102,5848
Mid,2020,202007,000,State of Texas,53,53 yrs,332514,163694,168820,144209,72286,71923,41130,19493,21637,118350,58203,60147,17967,8691,9276,10858,5021,5837
Mid,2020,202007,000,State of Texas,54,54 yrs,337874,166671,171203,147713,73978,73735,42295,20072,22223,118737,58663,60074,18209,8888,9321,10920,5070,5850
Mid,2020,202007,000,State of Texas,55,55 yrs,362701,178819,183882,165827,82950,82877,44660,21066,23594,122346,60471,61875,18223,8866,9357,11645,5466,6179
Mid,2020,202007,000,State of Texas,56,56 yrs,352920,173106,179814,168001,83558,84443,42389,19802,22587,112951,55663,57288,17750,8572,9178,11829,5511,6318
Mid,2020,202007,000,State of Texas,57,57 yrs,351985,172192,179793,171754,85387,86367,42180,19754,22426,109215,53365,55850,16890,8113,8777,11946,5573,6373
Mid,2020,202007,000,State of Texas,58,58 yrs,348324,170450,177874,174456,86546,87910,41390,19445,21945,105469,51736,53733,15271,7332,7939,11738,5391,6347
Mid,2020,202007,000,State of Texas,59,59 yrs,347217,169257,177960,176136,87400,88736,41747,19510,22237,102598,49950,52648,15338,7224,8114,11398,5173,6225
Mid,2020,202007,000,State of Texas,60,60 yrs,355268,173596,181672,182411,90468,91943,41920,19632,22288,104210,50982,53228,15573,7236,8337,11154,5278,5876
Mid,2020,202007,000,State of Texas,61,61 yrs,328250,159534,168716,172452,85403,87049,38993,18207,20786,91914,44551,47363,14315,6493,7822,10576,4880,5696
Mid,2020,202007,000,State of Texas,62,62 yrs,328354,158793,169561,175033,86216,88817,38178,17756,20422,90620,43507,47113,14012,6378,7634,10511,4936,5575
Mid,2020,202007,000,State of Texas,63,63 yrs,315492,151030,164462,169279,82458,86821,36498,16781,19717,85852,41023,44829,13742,6182,7560,10121,4586,5535
Mid,2020,202007,000,State of Texas,64,64 yrs,304648,146086,158562,164964,80399,84565,34934,16184,18750,81882,39069,42813,13425,6081,7344,9443,4353,5090
Mid,2020,202007,000,State of Texas,65,65 yrs,305900,146345,159555,168003,81895,86108,34463,15711,18752,80837,38436,42401,13371,6048,7323,9226,4255,4971
Mid,2020,202007,000,State of Texas,66,66 yrs,278935,131633,147302,156841,75304,81537,30240,13648,16592,71469,33464,38005,12058,5470,6588,8327,3747,4580
Mid,2020,202007,000,State of Texas,67,67 yrs,270768,127924,142844,153617,74072,79545,28845,12955,15890,68335,31953,36382,12152,5433,6719,7819,3511,4308
Mid,2020,202007,000,State of Texas,68,68 yrs,255273,120286,134987,147254,70868,76386,26710,11707,15003,63428,29611,33817,10752,4729,6023,7129,3371,3758
Mid,2020,202007,000,State of Texas,69,69 yrs,240948,112453,128495,136902,65354,71548,25733,11083,14650,60852,28283,32569,10882,4727,6155,6579,3006,3573
Mid,2020,202007,000,State of Texas,70,70 yrs,240358,111906,128452,138879,66260,72619,24282,10550,13732,59613,27461,32152,11131,4863,6268,6453,2772,3681
Mid,2020,202007,000,State of Texas,71,71 yrs,221495,102887,118608,131684,62455,69229,21753,9443,12310,52721,24146,28575,9430,4201,5229,5907,2642,3265
Mid,2020,202007,000,State of Texas,72,72 yrs,222113,103730,118383,136478,65081,71397,20095,8724,11371,50825,23371,27454,8839,3856,4983,5876,2698,3178
Mid,2020,202007,000,State of Texas,73,73 yrs,212166,98484,113682,134153,63761,70392,17795,7672,10123,46815,21132,25683,7948,3531,4417,5455,2388,3067
Mid,2020,202007,000,State of Texas,74,74 yrs,162186,74768,87418,96696,45888,50808,14491,6052,8439,40120,17932,22188,6856,3117,3739,4023,1779,2244
